"","filename","sti","ai","pi","si","nltt_stat"
"39","toy_example_2.RDa","2","1","1","9",0.0267480300564955
"40","toy_example_2.RDa","2","1","1","10",0.0234335161137347
"41","toy_example_3.RDa","1","1","1","1",0.0190546834284486
"42","toy_example_3.RDa","1","1","1","2",0.0475255804468827
"43","toy_example_3.RDa","1","1","1","3",0.0488711905561472
"44","toy_example_3.RDa","1","1","1","4",0.0654150724144728
"45","toy_example_3.RDa","1","1","1","5",0.0370035600405272
"46","toy_example_3.RDa","1","1","1","6",0.0606363109691687
"47","toy_example_3.RDa","1","1","1","7",0.0411078087824457
"48","toy_example_3.RDa","1","1","1","8",0.0519217832794873
"49","toy_example_3.RDa","1","1","1","9",0.0163555290753683
"50","toy_example_3.RDa","1","1","1","10",0.0430041837178453
"51","toy_example_3.RDa","1","1","2","1",0.046885337303307
"52","toy_example_3.RDa","1","1","2","2",0.0422000140608934
"53","toy_example_3.RDa","1","1","2","3",0.0256958351304326
"54","toy_example_3.RDa","1","1","2","4",0.0109079371838148
"55","toy_example_3.RDa","1","1","2","5",0.0305046284949115
"56","toy_example_3.RDa","1","1","2","6",0.0334267536208045
"57","toy_example_3.RDa","1","1","2","7",0.0153760873776402
"58","toy_example_3.RDa","1","1","2","8",0.0428182430606626
"59","toy_example_3.RDa","1","1","2","9",0.0574783885102048
"60","toy_example_3.RDa","1","1","2","10",0.0286899011171247
"61","toy_example_3.RDa","1","2","1","1",0.0367085925455941
"62","toy_example_3.RDa","1","2","1","2",0.0273906160014534
"63","toy_example_3.RDa","1","2","1","3",0.0224539814816189
"64","toy_example_3.RDa","1","2","1","4",0.0336001894501974
"65","toy_example_3.RDa","1","2","1","5",0.0325572348849323
"66","toy_example_3.RDa","1","2","1","6",0.0216596402387233
"67","toy_example_3.RDa","1","2","1","7",0.0323082428468669
"68","toy_example_3.RDa","1","2","1","8",0.0271656520356584
"69","toy_example_3.RDa","1","2","1","9",0.00545588345527688
"70","toy_example_3.RDa","1","2","1","10",0.0225275044608149
"71","toy_example_3.RDa","1","2","2","1",0.0261595558454777
"72","toy_example_3.RDa","1","2","2","2",0.0350028150420207
"73","toy_example_3.RDa","1","2","2","3",0.0389263359007743
"74","toy_example_3.RDa","1","2","2","4",0.026120380165883
"75","toy_example_3.RDa","1","2","2","5",0.0152420386320419
"76","toy_example_3.RDa","1","2","2","6",0.0352739851260971
"77","toy_example_3.RDa","1","2","2","7",0.0138831493994225
"78","toy_example_3.RDa","1","2","2","8",0.0301030023197561
"79","toy_example_3.RDa","1","2","2","9",0.0206652893927287
"80","toy_example_3.RDa","1","2","2","10",0.00406061355434164
"81","toy_example_3.RDa","2","1","1","1",0.0279326208038474
"82","toy_example_3.RDa","2","1","1","2",0.0233718878066205
"83","toy_example_3.RDa","2","1","1","3",0.0200884303950376
"84","toy_example_3.RDa","2","1","1","4",0.0325023845327652
"85","toy_example_3.RDa","2","1","1","5",0.0193896098598657
"86","toy_example_3.RDa","2","1","1","6",0.0199516477924583
"87","toy_example_3.RDa","2","1","1","7",0.0269206599449175
"88","toy_example_3.RDa","2","1","1","8",0.0240000869914592
"89","toy_example_3.RDa","2","1","1","9",0.0213097537505935
"90","toy_example_3.RDa","2","1","1","10",0.0072642498068209
"91","toy_example_3.RDa","2","1","2","1",0.0194525218149914
"92","toy_example_3.RDa","2","1","2","2",0.0123351585126632
"93","toy_example_3.RDa","2","1","2","3",0.0191379031821027
"94","toy_example_3.RDa","2","1","2","4",0.0359923968517526
"95","toy_example_3.RDa","2","1","2","5",0.0250738427897993
"96","toy_example_3.RDa","2","1","2","6",0.0372515857532751
"97","toy_example_3.RDa","2","1","2","7",0.0385334434018334
"98","toy_example_3.RDa","2","1","2","8",0.0478383106158545
"99","toy_example_3.RDa","2","1","2","9",0.00906360378364686
"100","toy_example_3.RDa","2","1","2","10",0.0496880187494589
"101","toy_example_3.RDa","2","2","1","1",0.0271494576319951
"102","toy_example_3.RDa","2","2","1","2",0.017583724466921
"103","toy_example_3.RDa","2","2","1","3",0.0377189612228352
"104","toy_example_3.RDa","2","2","1","4",0.0308668857380562
"105","toy_example_3.RDa","2","2","1","5",0.0389157372495671
"106","toy_example_3.RDa","2","2","1","6",0.0223946425577213
"107","toy_example_3.RDa","2","2","1","7",0.0120326833748097
"108","toy_example_3.RDa","2","2","1","8",0.0217986686230891
"109","toy_example_3.RDa","2","2","1","9",0.0267521611707658
"110","toy_example_3.RDa","2","2","1","10",0.0278947797117409
"111","toy_example_3.RDa","2","2","2","1",0.0155843201810128
"112","toy_example_3.RDa","2","2","2","2",0.0118616878156057
"113","toy_example_3.RDa","2","2","2","3",0.0146243140334943
"114","toy_example_3.RDa","2","2","2","4",0.0301382286108468
"115","toy_example_3.RDa","2","2","2","5",0.0301469520300697
"116","toy_example_3.RDa","2","2","2","6",0.0183088032290871
"117","toy_example_3.RDa","2","2","2","7",0.0119526967892297
"118","toy_example_3.RDa","2","2","2","8",0.0313265670541065
"119","toy_example_3.RDa","2","2","2","9",0.0139046795305496
"120","toy_example_3.RDa","2","2","2","10",0.00887931026562898
"121","toy_example_4.RDa","1","1","1","1",0.0459894831211938
"122","toy_example_4.RDa","1","1","1","2",0.0477461037721412
"123","toy_example_4.RDa","1","1","1","3",0.0461596776946903
"124","toy_example_4.RDa","1","1","1","4",0.0485215171721613
"125","toy_example_4.RDa","1","1","1","5",0.0682936769515745
"126","toy_example_4.RDa","1","1","1","6",0.0393612342880187
"127","toy_example_4.RDa","1","1","1","7",0.0836037231510091
"128","toy_example_4.RDa","1","1","1","8",0.0715082721000019
"129","toy_example_4.RDa","1","1","1","9",0.0410531435284278
"130","toy_example_4.RDa","1","1","1","10",0.053352037377358
"131","toy_example_4.RDa","1","1","2","1",0.0226297731812693
"132","toy_example_4.RDa","1","1","2","2",0.0422347892425992
"133","toy_example_4.RDa","1","1","2","3",0.0388922469556979
"134","toy_example_4.RDa","1","1","2","4",0.0321554135207388
"135","toy_example_4.RDa","1","1","2","5",0.0169510669316601
"136","toy_example_4.RDa","1","1","2","6",0.0778533737738098
"137","toy_example_4.RDa","1","1","2","7",0.0622001831804159
"138","toy_example_4.RDa","1","1","2","8",0.0458453859558469
"139","toy_example_4.RDa","1","1","2","9",0.0201113057245149
"140","toy_example_4.RDa","1","1","2","10",0.0359900669638668
"141","toy_example_4.RDa","1","2","1","1",0.0243447000540523
"142","toy_example_4.RDa","1","2","1","2",0.0519941606255911
"143","toy_example_4.RDa","1","2","1","3",0.0351665265763102
"144","toy_example_4.RDa","1","2","1","4",0.0623950632990822
"145","toy_example_4.RDa","1","2","1","5",0.0296010537721295
"146","toy_example_4.RDa","1","2","1","6",0.0247732122239442
"147","toy_example_4.RDa","1","2","1","7",0.0720808226055375
"148","toy_example_4.RDa","1","2","1","8",0.0114237132219177
"149","toy_example_4.RDa","1","2","1","9",0.0342634188522931
"150","toy_example_4.RDa","1","2","1","10",0.0346425986982421
"151","toy_example_4.RDa","1","2","2","1",0.0335913452763249
"152","toy_example_4.RDa","1","2","2","2",0.0157431862588672
"153","toy_example_4.RDa","1","2","2","3",0.0376776239986043
"154","toy_example_4.RDa","1","2","2","4",0.075558997693062
"155","toy_example_4.RDa","1","2","2","5",0.0312189495386668
"156","toy_example_4.RDa","1","2","2","6",0.0210459212027236
"157","toy_example_4.RDa","1","2","2","7",0.0558215528246984
"158","toy_example_4.RDa","1","2","2","8",0.0444580605297738
"159","toy_example_4.RDa","1","2","2","9",0.0304785255573042
"160","toy_example_4.RDa","1","2","2","10",0.026723029240623
"161","toy_example_4.RDa","2","1","1","1",0.0398729711405356
"162","toy_example_4.RDa","2","1","1","2",0.0680239653588358
"163","toy_example_4.RDa","2","1","1","3",0.0987525311756007
"164","toy_example_4.RDa","2","1","1","4",0.0461815455855446
"165","toy_example_4.RDa","2","1","1","5",0.0190243837311646
"166","toy_example_4.RDa","2","1","1","6",0.0512389483845511
"167","toy_example_4.RDa","2","1","1","7",0.0707417610472594
"168","toy_example_4.RDa","2","1","1","8",0.04503655040116
"169","toy_example_4.RDa","2","1","1","9",0.0607311439693687
"170","toy_example_4.RDa","2","1","1","10",0.081848678099225
"171","toy_example_4.RDa","2","1","2","1",0.0548458925982908
"172","toy_example_4.RDa","2","1","2","2",0.0150732381114296
"173","toy_example_4.RDa","2","1","2","3",0.0759451900953877
"174","toy_example_4.RDa","2","1","2","4",0.0865340910969487
"175","toy_example_4.RDa","2","1","2","5",0.0693407716689786
"176","toy_example_4.RDa","2","1","2","6",0.0665616563973297
"177","toy_example_4.RDa","2","1","2","7",0.053707503695621
"178","toy_example_4.RDa","2","1","2","8",0.0218939642369166
"179","toy_example_4.RDa","2","1","2","9",0.0427728936239427
"180","toy_example_4.RDa","2","1","2","10",0.0741965090188438
"181","toy_example_4.RDa","2","2","1","1",0.0377543660109769
"182","toy_example_4.RDa","2","2","1","2",0.0570002329392398
"183","toy_example_4.RDa","2","2","1","3",0.0375044922951904
"184","toy_example_4.RDa","2","2","1","4",0.0362600181130101
"185","toy_example_4.RDa","2","2","1","5",0.0125936353083301
"186","toy_example_4.RDa","2","2","1","6",0.0233614578903905
"187","toy_example_4.RDa","2","2","1","7",0.0776171469089924
"188","toy_example_4.RDa","2","2","1","8",0.0160323399360639
"189","toy_example_4.RDa","2","2","1","9",0.0163487194200185
"190","toy_example_4.RDa","2","2","1","10",0.0364679458509757
"191","toy_example_4.RDa","2","2","2","1",0.0408942071797051
"192","toy_example_4.RDa","2","2","2","2",0.0411891116803614
"193","toy_example_4.RDa","2","2","2","3",0.0242883758551009
"194","toy_example_4.RDa","2","2","2","4",0.0308861040329954
"195","toy_example_4.RDa","2","2","2","5",0.0467199509716449
"196","toy_example_4.RDa","2","2","2","6",0.0274765171849012
"197","toy_example_4.RDa","2","2","2","7",0.0257093726976908
"198","toy_example_4.RDa","2","2","2","8",0.0387122378483601
"199","toy_example_4.RDa","2","2","2","9",0.101320134550717
"200","toy_example_4.RDa","2","2","2","10",0.0384281154238042
